#Mean	524.463
#Median	514
#Mode	502
#STDev	134.238
#PercentOfPairs	99.997
#InsertSize	Count
18	1
27	1
36	1
44	1
51	1
64	1
76	1
81	1
83	1
89	3
93	1
97	2
106	3
107	1
108	1
112	1
114	1
115	1
116	3
119	1
120	4
121	3
123	1
124	1
125	1
126	1
127	1
129	5
130	2
131	1
132	2
133	1
134	1
135	4
136	2
137	3
138	1
139	7
140	4
141	3
142	4
143	4
144	2
145	5
146	2
147	2
148	6
149	4
150	4
151	4
153	6
154	4
155	3
156	3
157	6
158	7
159	4
160	1
161	3
162	8
163	2
164	5
165	2
166	1
167	1
168	2
170	8
171	6
172	6
173	4
174	5
175	6
176	1
177	7
178	8
179	4
180	4
181	1
182	4
183	4
184	3
185	5
186	2
187	3
188	6
189	1
190	2
191	2
192	2
193	4
194	4
195	2
196	2
197	4
198	1
199	5
200	1
201	2
202	4
203	3
204	2
205	4
206	1
207	4
208	3
209	1
210	5
211	2
212	5
213	4
214	1
215	8
216	3
217	7
218	6
219	5
220	4
221	8
222	1
223	7
224	6
225	5
226	5
227	5
228	4
229	5
230	3
231	7
232	3
233	9
234	9
235	10
236	7
237	5
238	3
239	7
240	8
241	4
242	3
243	4
244	8
245	7
246	3
247	7
248	10
249	9
250	7
251	16
252	4
253	7
254	6
255	9
256	9
257	10
258	7
259	12
260	11
261	4
262	12
263	7
264	13
265	6
266	9
267	7
268	12
269	6
270	12
271	8
272	7
273	13
274	7
275	4
276	4
277	8
278	15
279	12
280	9
281	10
282	11
283	8
284	10
285	10
286	16
287	14
288	14
289	13
290	15
291	8
292	17
293	15
294	16
295	14
296	19
297	10
298	16
299	19
300	14
301	16
302	29
303	16
304	13
305	22
306	19
307	23
308	17
309	18
310	18
311	18
312	27
313	17
314	18
315	16
316	17
317	28
318	23
319	20
320	22
321	37
322	27
323	34
324	34
325	28
326	27
327	27
328	23
329	23
330	22
331	35
332	23
333	31
334	26
335	26
336	27
337	27
338	36
339	30
340	32
341	32
342	22
343	33
344	45
345	45
346	37
347	33
348	56
349	39
350	60
351	28
352	38
353	36
354	34
355	36
356	43
357	41
358	35
359	38
360	36
361	41
362	53
363	56
364	40
365	56
366	42
367	45
368	45
369	51
370	55
371	63
372	59
373	67
374	56
375	58
376	63
377	67
378	55
379	55
380	60
381	67
382	69
383	66
384	62
385	59
386	66
387	75
388	57
389	60
390	83
391	68
392	76
393	72
394	78
395	81
396	77
397	70
398	78
399	78
400	63
401	92
402	84
403	97
404	89
405	84
406	78
407	96
408	91
409	93
410	86
411	90
412	91
413	71
414	94
415	82
416	73
417	86
418	95
419	86
420	103
421	108
422	94
423	105
424	94
425	105
426	95
427	67
428	123
429	112
430	124
431	102
432	97
433	89
434	121
435	100
436	121
437	94
438	103
439	128
440	106
441	124
442	105
443	139
444	119
445	129
446	128
447	130
448	146
449	118
450	119
451	123
452	118
453	126
454	142
455	152
456	149
457	139
458	158
459	118
460	140
461	132
462	148
463	134
464	119
465	141
466	125
467	144
468	124
469	139
470	132
471	115
472	133
473	150
474	116
475	126
476	119
477	125
478	143
479	150
480	143
481	129
482	137
483	128
484	150
485	134
486	147
487	134
488	157
489	157
490	134
491	153
492	139
493	150
494	148
495	147
496	131
497	149
498	157
499	129
500	131
501	132
502	165
503	131
504	146
505	148
506	154
507	149
508	150
509	119
510	128
511	129
512	135
513	154
514	142
515	131
516	134
517	140
518	141
519	143
520	139
521	160
522	135
523	109
524	120
525	138
526	127
527	148
528	134
529	123
530	147
531	143
532	129
533	113
534	123
535	115
536	115
537	125
538	132
539	121
540	123
541	122
542	119
543	136
544	109
545	129
546	152
547	106
548	116
549	123
550	127
551	120
552	122
553	123
554	122
555	116
556	120
557	97
558	108
559	96
560	91
561	112
562	117
563	106
564	121
565	113
566	103
567	131
568	101
569	103
570	133
571	101
572	117
573	105
574	115
575	103
576	97
577	108
578	126
579	88
580	102
581	97
582	92
583	84
584	93
585	94
586	101
587	92
588	111
589	101
590	86
591	91
592	76
593	106
594	94
595	108
596	78
597	99
598	97
599	99
600	94
601	98
602	90
603	94
604	94
605	90
606	76
607	98
608	82
609	89
610	83
611	78
612	81
613	93
614	66
615	88
616	91
617	67
618	60
619	91
620	81
621	82
622	73
623	77
624	81
625	67
626	65
627	82
628	80
629	63
630	65
631	87
632	60
633	72
634	59
635	55
636	60
637	76
638	56
639	63
640	59
641	76
642	60
643	69
644	78
645	69
646	69
647	45
648	71
649	69
650	73
651	57
652	70
653	64
654	59
655	51
656	69
657	60
658	68
659	56
660	48
661	48
662	53
663	54
664	57
665	58
666	46
667	67
668	47
669	59
670	44
671	45
672	50
673	54
674	51
675	54
676	56
677	40
678	50
679	39
680	34
681	39
682	46
683	47
684	51
685	51
686	43
687	38
688	31
689	42
690	34
691	36
692	32
693	37
694	43
695	48
696	37
697	38
698	35
699	32
700	29
701	37
702	37
703	36
704	27
705	30
706	32
707	39
708	27
709	33
710	36
711	31
712	37
713	36
714	31
715	30
716	23
717	23
718	30
719	28
720	26
721	30
722	41
723	30
724	30
725	32
726	23
727	25
728	21
729	30
730	19
731	34
732	30
733	37
734	15
735	24
736	29
737	14
738	15
739	32
740	23
741	25
742	22
743	21
744	25
745	19
746	36
747	21
748	23
749	27
750	19
751	13
752	16
753	28
754	22
755	22
756	19
757	29
758	27
759	23
760	17
761	12
762	14
763	15
764	13
765	18
766	16
767	15
768	11
769	13
770	12
771	11
772	12
773	14
774	15
775	17
776	18
777	14
778	12
779	18
780	18
781	12
782	20
783	12
784	15
785	15
786	10
787	11
788	13
789	13
790	8
791	11
792	20
793	13
794	12
795	16
796	15
797	14
798	10
799	12
800	8
801	16
802	18
803	16
804	12
805	12
806	9
807	9
808	11
809	3
810	11
811	9
812	3
813	14
814	10
815	8
816	7
817	4
818	2
819	10
820	9
821	8
822	12
823	8
824	11
825	6
826	8
827	7
828	9
829	7
830	4
831	7
832	8
833	6
834	14
835	12
836	8
837	9
838	5
839	13
840	10
841	6
842	3
843	9
844	7
845	8
846	4
847	3
848	10
849	7
850	5
851	2
852	7
853	4
854	8
855	5
856	3
857	7
858	4
859	2
860	4
861	5
862	7
863	3
864	6
865	3
866	2
867	3
868	1
869	2
870	5
871	5
872	2
873	3
874	4
875	7
876	3
877	2
878	7
879	10
880	1
881	4
882	3
883	3
884	1
885	2
886	2
888	2
889	2
890	2
891	1
892	2
893	3
894	6
895	7
896	2
897	3
899	3
900	2
901	2
904	1
905	5
906	3
907	2
908	5
909	2
910	6
912	3
913	1
914	6
915	3
916	2
918	2
919	1
920	2
921	2
922	4
923	2
924	2
925	2
926	3
927	1
928	2
930	2
932	2
933	2
935	2
936	2
937	2
939	3
941	4
942	1
944	4
948	1
950	1
952	1
953	2
954	1
955	6
956	1
958	2
959	2
962	2
963	1
965	2
966	2
967	1
970	1
971	1
972	1
973	2
974	1
980	1
984	1
986	3
987	1
989	7
990	2
991	3
992	1
993	3
994	1
996	1
997	1
998	1
1001	2
1002	1
1004	1
1005	1
1007	1
1008	1
1013	1
1015	1
1020	1
1029	2
1034	1
1057	1
1058	1
1061	1
1069	1
1070	2
1076	1
1078	1
1079	1
1081	1
1083	2
1095	1
1096	1
1100	1
1120	3
1121	2
1125	1
1132	1
1134	1
1141	1
1144	1
1147	1
1156	1
1157	1
1173	1
1176	1
1210	2
1228	1
1235	1
1243	2
1262	1
1263	1
1288	1
1319	1
1325	2
1331	1
1336	1
1343	1
1351	1
1364	1
1388	1
1407	2
1409	1
1430	1
1433	1
1446	1
1460	1
1473	1
1475	1
1481	1
1497	2
1502	1
1517	1
1521	1
1540	1
1542	2
1543	1
1549	1
1551	2
1594	1
1642	1
1649	1
1672	1
1674	1
1691	1
1694	1
1716	1
1720	1
1721	3
1731	1
1736	1
1760	1
1766	1
1794	1
1831	1
1838	1
1841	1
1849	1
1852	1
1860	1
1863	1
1879	1
1881	1
1885	1
1904	2
1911	1
1917	1
1942	1
1943	4
1960	1
1968	1
1972	1
1974	1
1986	1
1991	1
1998	2
