#Deviation	4.4086	4.7688
#Avg_STDev	7.012
#Diversity	4.439
#Entropy	0.108
#BaseNum	Read1_linear	Read1_log	Read1_measured	Read2_linear	Read2_log	Read2_measured
1	33.668	21.768	19.717	33.781	21.105	18.903
2	34.162	25.200	21.693	33.906	24.782	21.265
3	35.633	26.342	22.633	35.098	25.427	21.318
4	35.803	26.397	22.696	35.320	25.273	21.379
5	35.895	26.605	23.021	35.495	25.588	21.504
6	37.077	27.150	23.397	36.546	25.911	21.504
7	37.116	27.463	23.890	36.530	25.921	21.441
8	37.107	27.279	23.372	36.677	26.124	22.193
9	37.148	27.371	23.754	36.601	25.917	21.683
10	37.171	27.467	23.945	36.683	26.204	22.046
11	37.151	27.454	23.917	36.674	26.005	21.992
12	37.157	27.388	23.754	36.680	26.084	21.869
13	37.130	27.220	23.397	36.614	25.736	21.552
14	37.098	27.203	24.001	36.645	25.993	21.601
15	37.097	27.261	23.675	36.656	26.020	22.010
16	37.107	27.420	23.890	36.564	25.767	21.716
17	37.094	27.303	24.115	36.534	25.789	21.852
18	37.044	27.096	23.754	36.440	25.553	21.212
19	37.068	27.102	24.323	36.395	25.374	21.708
20	37.023	27.062	24.233	36.460	25.608	22.064
21	37.056	27.182	24.293	36.432	25.389	21.009
22	37.037	27.047	24.415	36.377	25.351	20.815
23	36.975	26.875	23.973	36.370	25.292	21.117
24	36.916	26.584	22.452	36.302	25.295	20.932
25	36.958	26.790	23.781	36.141	24.874	20.681
26	36.845	26.154	22.801	36.237	25.114	21.066
27	36.872	26.364	22.801	36.233	25.054	21.124
28	36.807	26.086	22.780	36.249	25.079	21.037
29	36.772	25.939	22.240	36.192	24.917	21.242
30	36.708	25.796	22.452	36.195	24.974	20.539
31	36.664	25.648	21.298	36.134	24.848	20.655
32	36.512	21.840	19.994	36.094	24.744	19.983
33	36.718	25.879	22.413	36.112	24.760	20.564
34	36.697	25.762	22.002	36.037	24.653	20.080
35	36.648	25.704	22.111	35.953	24.456	20.034
36	36.678	25.740	22.823	35.964	24.527	20.161
37	36.688	25.817	22.111	35.923	24.408	19.813
38	36.651	25.619	21.644	35.938	24.484	20.219
39	36.628	25.589	22.240	35.908	24.354	20.137
40	36.628	25.610	22.147	35.843	24.159	19.802
41	36.601	25.190	21.819	35.804	24.140	19.759
42	36.582	25.448	21.343	35.816	24.213	19.665
43	36.585	25.507	21.932	35.833	24.176	19.572
44	36.590	25.514	21.880	35.741	24.045	19.717
45	36.626	25.534	21.644	35.764	24.095	20.172
46	36.597	25.503	21.282	35.767	24.063	19.296
47	36.531	25.279	21.343	35.716	23.966	19.603
48	36.529	25.311	20.949	35.590	23.753	19.192
49	36.532	25.290	21.611	35.638	23.859	19.521
50	36.525	25.390	21.845	35.655	23.931	19.446
51	36.519	25.333	21.547	35.482	23.535	18.885
52	36.492	25.261	21.252	35.421	23.531	18.765
53	36.482	25.156	21.282	35.491	23.679	18.907
54	36.426	25.037	21.120	35.369	23.461	18.850
55	36.379	24.916	20.771	35.340	23.448	19.009
56	36.380	24.933	21.005	35.257	23.289	18.773
57	36.376	25.033	20.744	35.250	23.295	18.486
58	36.336	24.904	21.343	35.237	23.255	18.790
59	36.302	24.663	20.731	35.208	23.215	18.731
60	36.367	24.968	20.838	35.105	23.011	18.431
61	36.297	24.710	20.845	35.089	23.128	18.353
62	36.388	25.018	20.825	35.106	23.122	18.085
63	36.344	24.840	20.852	35.159	23.240	18.689
64	36.305	24.779	20.852	35.146	23.181	18.431
65	36.260	24.687	20.600	35.186	23.246	18.782
66	36.253	24.655	20.423	35.171	23.166	18.311
67	36.289	24.721	20.374	35.114	23.057	18.494
68	36.223	24.564	20.665	35.069	22.979	18.396
69	36.216	24.533	20.852	35.106	23.136	18.494
70	36.226	24.621	20.473	35.062	23.037	18.292
71	36.220	24.574	20.811	34.986	22.860	18.198
72	36.165	24.481	20.325	35.008	22.985	17.942
73	36.163	24.443	20.350	34.983	22.873	18.269
74	36.131	24.370	19.706	34.952	22.843	18.143
75	36.110	24.331	20.124	34.921	22.779	17.999
76	35.764	24.263	20.486	34.478	22.953	18.542
77	35.993	24.405	19.955	34.863	23.015	18.070
78	36.024	24.258	20.067	35.012	23.047	18.665
